document_id,title,abstract,chemical_mesh_ids,disease_mesh_ids,relation_count,chemical_mentions_count,disease_mentions_count
227508,Naloxone reverses the antihypertensive effect of clonidine.,"In unanesthetized, spontaneously hypertensive rats the decrease in blood pressure and heart rate produced by intravenous clonidine, 5 to 20 micrograms/kg, was inhibited or reversed by nalozone, 0.2 to 2 mg/kg. The hypotensive effect of 100 mg/kg alpha-methyldopa was also partially reversed by naloxone. Naloxone alone did not affect either blood pressure or heart rate. In brain membranes from spontaneously hypertensive rats clonidine, 10(-8) to 10(-5) M, did not influence stereoselective binding ...",D003000|D008750|D009270,D007022|D006973,1,16,4
354896,Lidocaine-induced cardiac asystole.,"Intravenous administration of a single 50-mg bolus of lidocaine in a 67-year-old man resulted in profound depression of the activity of the sinoatrial and atrioventricular nodal pacemakers. The patient had no apparent associated conditions which might have predisposed him to the development of bradyarrhythmias; and, thus, this probably represented a true idiosyncrasy to lidocaine.",D008012,D001919|D003866|D006323,1,3,3
435349,Suxamethonium infusion rate and observed fasciculations. A dose-response study.,"Suxamethonium chloride (Sch) was administered i.v. to 36 adult males at six rates: 0.25 mg s-1 to 20 mg s-1. The infusion was discontinued either when there was no muscular response to tetanic stimulation of the ulnar nerve or when Sch 120 mg was exceeded. Six additional patients received a 30-mg i.v. bolus dose. Fasciculations in six areas of the body were scored from 0 to 3 and summated as a total fasciculation score. The times to first fasciculation, twitch suppression and tetanus suppression...",D013390,D013746|D005207,1,4,10
603022,"Galanthamine hydrobromide, a longer acting anticholinesterase drug, in the treatment of the central effects of scopolamine (Hyoscine).","Galanthamine hydrobromide, an anticholinesterase drug capable of penetrating the blood-brain barrier, was used in a patient demonstrating central effects of scopolamine (hyoscine) overdosage. It is longer acting than physostigmine and is used in anaesthesia to reverse the non-depolarizing neuromuscular block. However, studies into the dose necessary to combating scopolamine intoxication are indicated.",D012601|D005702|D010830,D062787,1,8,1
1378968,Effects of uninephrectomy and high protein feeding on lithium-induced chronic renal failure in rats.,"Rats with lithium-induced nephropathy were subjected to high protein (HP) feeding, uninephrectomy (NX) or a combination of these, in an attempt to induce glomerular hyperfiltration and further progression of renal failure. Newborn female Wistar rats were fed a lithium-containing diet (50 mmol/kg) for 8 weeks and then randomized to normal diet, HP diet (40 vs. 19%), NX or HP+NX for another 8 weeks. Corresponding non-lithium pretreated groups were generated. When comparing all lithium treated vers...",D008094|D003404,D007674|D005921|D006973|D011507|D051437|D007676,3,15,11
1420741,Treatment of Crohn's disease with fusidic acid: an antibiotic with immunosuppressive properties similar to cyclosporin.,"Fusidic acid is an antibiotic with T-cell specific immunosuppressive effects similar to those of cyclosporin. Because of the need for the development of new treatments for Crohn's disease, a pilot study was undertaken to estimate the pharmacodynamics and tolerability of fusidic acid treatment in chronic active, therapy-resistant patients. Eight Crohn's disease patients were included. Fusidic acid was administered orally in a dose of 500 mg t.d.s. and the treatment was planned to last 8 weeks. Th...",D016572|D005672,D015212|D009325|D003424,1,8,6
1601297,Electrocardiographic evidence of myocardial injury in psychiatrically hospitalized cocaine abusers.,"The electrocardiograms (ECG) of 99 cocaine-abusing patients were compared with the ECGs of 50 schizophrenic controls. Eleven of the cocaine abusers and none of the controls had ECG evidence of significant myocardial injury defined as myocardial infarction, ischemia, and bundle branch block.",D003042,D002037|D009202|D012559|D007511|D009203,2,3,6
1967484,Sulpiride-induced tardive dystonia.,"Sulpiride is a selective D2-receptor antagonist with antipsychotic and antidepressant properties. Although initially thought to be free of extrapyramidal side effects, sulpiride-induced tardive dyskinesia and parkinsonism have been reported occasionally. We studied a 37-year-old man who developed persistent segmental dystonia within 2 months after starting sulpiride therapy. We could not find any previous reports of sulpiride-induced tardive dystonia.",D000928|D013469,D010302|D004421|D004409,1,6,5
2234245,Ocular and auditory toxicity in hemodialyzed patients receiving desferrioxamine.,"During an 18-month period of study 41 hemodialyzed patients receiving desferrioxamine (10-40 mg/kg BW/3 times weekly) for the first time were monitored for detection of audiovisual toxicity. 6 patients presented clinical symptoms of visual or auditory toxicity. Moreover, detailed ophthalmologic and audiologic studies disclosed abnormalities in 7 more asymptomatic patients. Visual toxicity was of retinal origin and was characterized by a tritan-type dyschromatopsy, sometimes associated with a los...",D003676,D014786|D034381|D006319|D012164|D014786|D006311|D006311|D064420,3,6,16
2385256,Myasthenia gravis presenting as weakness after magnesium administration.,"We studied a patient with no prior history of neuromuscular disease who became virtually quadriplegic after parenteral magnesium administration for preeclampsia. The serum magnesium concentration was 3.0 mEq/L, which is usually well tolerated. The magnesium was stopped and she recovered over a few days. While she was weak, 2-Hz repetitive stimulation revealed a decrement without significant facilitation at rapid rates or after exercise, suggesting postsynaptic neuromuscular blockade. After her s...",D008274|D000109,D009468|D010243|D009157|D020511|D011782|D011225,1,7,8
2505783,Chloroacetaldehyde and its contribution to urotoxicity during treatment with cyclophosphamide or ifosfamide. An experimental study/short communication.,"Based on clinical data, indicating that chloroacetaldehyde (CAA) is an important metabolite of oxazaphosphorine cytostatics, an experimental study was carried out in order to elucidate the role of CAA in the development of hemorrhagic cystitis. The data demonstrate that CAA after i.v. administration does not contribute to bladder damage. When instilled directly into the bladder, CAA exerts urotoxic effects, it is, however, susceptible to detoxification with mesna.",D007069|D015080|C004656|D003520,D006470|D003556|D006470|D003556|D001745,2,9,4
2515254,Source of pain and primitive dysfunction in migraine: an identical site?,"Twenty common migraine patients received a one sided frontotemporal application of nitroglycerin (10 patients) or placebo ointment (10 patients) in a double blind study. Early onset migraine attacks were induced by nitroglycerin in seven out of 10 patients versus no patient in the placebo group. Subsequently 20 migraine patients, who developed an early onset attack with frontotemporal nitroglycerin, received the drug in a second induction test at other body areas. No early onset migraine was obs...",D005996,D010146|D008881,1,4,10
2572625,Clotiazepam-induced acute hepatitis.,"We report the case of a patient who developed acute hepatitis with extensive hepatocellular necrosis, 7 months after the onset of administration of clotiazepam, a thienodiazepine derivative. Clotiazepam withdrawal was followed by prompt recovery. The administration of several benzodiazepines, chemically related to clotiazepam, did not interfere with recovery and did not induce any relapse of hepatitis. This observation shows that clotiazepam can induce acute hepatitis and suggests that there is ...",D001569|C084599|C013295,D047508|D056486,1,9,6
2632720,Arterial hypertension as a complication of prolonged ketoconazole treatment.,"Two of 14 patients with Cushing's syndrome treated on a long-term basis with ketoconazole developed sustained hypertension. In both cases normal plasma and urinary free cortisol levels had been achieved following ketoconazole therapy, yet continuous blood pressure monitoring demonstrated hypertension 31 (patient 1) and 52 weeks (patient 2) after treatment. In patient 1, plasma levels of deoxycorticosterone and 11-deoxycortisol were elevated. In patient 2, in addition to an increase in both deoxy...",D003900|D006854|D007654|D000450|D003350,D006973|D003480,1,10,5
2670794,Effects of an inhibitor of angiotensin converting enzyme (Captopril) on pulmonary and renal insufficiency due to intravascular coagulation in the rat.,"Induction of intravascular coagulation and inhibition of fibrinolysis by injection of thrombin and tranexamic acid (AMCA) in the rat gives rise to pulmonary and renal insufficiency resembling that occurring after trauma or sepsis in man. Injection of Captopril (1 mg/kg), an inhibitor of angiotensin converting enzyme (ACE), reduced both pulmonary and renal insufficiency in this rat model. The lung weights were lower and PaO2 was improved in rats given this enzyme-blocking agent. The contents of a...",D014148|D000804|D014508|D002216|D001920|D000809|D011464,D011665|D018805|D007674|D004211|D051437|D011665|D051437|D014947,1,15,15
